activity_id,output_id,name,implementer,pmc_role,start_q,end_q,focus_end_q,note
1.1.1,1.1,부카스센터 기자재 지원,기자재 공급 수행기관(현지),"기자재 리스트 검토, 검수, 설치·교육·유지보수 모니터링, 국문 성과보고",2027Q1,2031Q2,2027Q4,모델링 4개소 집중지원 + 기본지원 15개소(잠정). BatMC는 주요 진단기자재 제외
1.2.1,1.2,부카스센터 의료인력 기술지원 및 멘토링,기자재 공급 수행기관(현지),"기술지원, 현장 모니터링, 국문 성과보고",2027Q1,2031Q2,2028Q4,모델링 5개소 의료·행정 인력 대상
2.1.1,2.1,"부카스센터 재정, 정보, 인사 운영관리 교육과정 개발",현지 교육 수행기관,"기술지원·모니터링, 국문 성과보고",2027Q1,2030Q4,,DOH Academy 온라인 플랫폼 포함
2.1.2,2.1,"부카스센터 운영관리교육 강사양성, 동료교육 실시",현지 교육 수행기관,기술지원·모니터링,2027Q1,2030Q4,,"국가단위 2회, 지역단위 8회"
2.2.1,2.2,부카스센터 통합 HCPN 운영 가이드라인 개발,현지 교육 수행기관,기술지원·모니터링,2027Q1,2030Q4,,확산 워크숍 국가 2회·지역 16회
2.2.2,2.2,지역사회 보건의료 인력 인식제고 및 교육 실시,현지 교육 수행기관,기술지원·모니터링,2027Q1,2030Q4,,"네비게이터 SBCC 교육, HCPN 정기회의(10개 HCPN 연 2회), 실행평가 워크숍 2회"
3.1.1,3.1,부카스센터 국가 정책 평가 및 환류,PMC + 현지 평가 수행기관,"평가 설계·실시·분석, 환류 워크숍, 정책 제언·확산 로드맵",2026Q4,2028Q1,,평가는 2027년 2분기 내 실시 완료. 결과는 3.2.1·3.2.2의 근거자료
3.2.1,3.2,부카스센터 데이터 통계 관리 및 평가체계 구축 역량강화,PMC (시스템 구축은 DOH KMITS),"S/W·H/W 자문, AI 기반 데이터 관리 자문, 워크숍 3회, 평가체계(스코어카드) 수립, 실무자 초청연수",2026Q4,2032Q4,,평가체계는 2027년 착수
3.2.2,3.2,"부카스센터 발전계획, 표준 운영 매뉴얼 수립 및 관리 역량강화",PMC,"발전계획·표준 운영 매뉴얼 수립·확산 워크숍, 관리자 초청연수",2026Q4,2032Q4,,2027년 착수
PM-1,PM,착수조사 / 착수보고회,PMC,,2026Q4,2027Q2,,
PM-2,PM,"성과관리계획 수립 (기초선조사, 모니터링·평가계획)",PMC,,2026Q4,2027Q2,,
PM-3,PM,"사업모니터링 (기자재 검수, 역량강화 점검, 정기 현장방문, 성과 점검)",PMC,,2026Q4,2032Q4,,
PM-4,PM,사업 중간보고회,PMC,,2029Q4,2029Q4,,
PM-5,PM,사업 최종보고회,PMC,,2032Q4,2032Q4,,
PM-6,PM,종료 평가,PMC,,2032Q4,2032Q4,,
