mdoc_id,name,cycle,next_due,language,owner,status,due_rule,contents
M01,전문가파견 계획서,수시,,국/영문,해당 전문가(안),예정,파견 2주 전,KOICA 지정양식
M02,전문가파견 활동보고서,수시,,국문,해당 전문가(안),예정,파견 완료 후 4주 이내,KOICA 지정양식
M03,PAO 활동보고서,1회,,국문,PAO(안),예정,PAO 계약종료 전 1개월 내,KOICA 지정양식
M04,PAO 활동평가서,1회,,국문,PM(안),예정,PAO 활동보고서 제출시,KOICA 지정양식
M05,PAO 주간 활동보고서,주,2026-11-02,국문,PAO(안),예정,차주 월요일,KOICA 지정양식
M06,PAO 월간 활동보고서,월,2026-11-10,국문,PAO(안),예정,매 익월 10일 이전,KOICA 지정양식
M07,사업수행계획서(국문),1회,2026-11-01,국문,PM(안),예정,계약 체결 전,KOICA 지정양식
M08,사업수행계획서(영문),1회,2026-11-15,영문,PM(안),예정,계약 체결 후 2주 이내,국문 계획서와 동일 내용
M09,현장 착수보고회 개최 계획서,1회,2026-11-08,국/영문,PM(안),예정,계약 체결 후 1주 이내,사업추진계획 등 착수보고회 발표자료 포함
M10,현장 착수보고회 개최 결과보고서,1회,2026-12-01,국/영문,PM(안),예정,계약 체결 후 1개월 이내,주요 협의 사항 M/M 체결
M11,착수 보고서,1회,2026-12-01,국문,PM(안),예정,계약 체결 후 1개월 이내,월별 사업 추진 세부 계획
M12,성과관리 계획서,1회,2026-12-01,국/영문,성과관리 전문가(안),예정,계약 체결 후 1개월 이내,"PDM, 지표 달성 및 조사 계획 (성과점검양식)"
M13,기초선조사 보고서,1회,,국/영문,성과관리 전문가(안),예정,기초선조사 실시 후 1개월 이내,"원 자료(raw data) 일체(설문지, 결과 data set 등), 성별분리통계, 출처"
M14,중간선조사 보고서,1회,,국/영문,성과관리 전문가(안),예정,중간선조사 실시 후 1개월 이내,"원 자료(raw data) 일체, 성별분리통계, 출처"
M15,종료선조사 보고서,1회,,국/영문,성과관리 전문가(안),예정,종료선조사 실시 후 1개월 이내,"원 자료(raw data) 일체, 성별분리통계, 출처"
M16,PL 월간 활동 보고서 및 차월 활동 계획서,월,2026-11-10,국문,PL(안),예정,매 익월 10일 이전,DOH와 협의 사항 포함
M17,PL 주간 활동 보고서,주,2026-11-02,국문,PL(안),예정,차주 월요일,KOICA 지정양식
M18,PIU 및 PSC 운영계획서,1회,2027-02-01,국/영문,PL(안),예정,계약 체결 후 3개월 이내,"분기별(PIU)/반기별(PSC) 개최일자, 장소, 참석자, 논의주제"
M19,PIU 개최 계획서,수시,,국/영문,PL(안),예정,개최 2개월 전,"일시, 장소, 참석자, 주요 내용, 발표 자료 포함"
M20,PIU 개최 결과보고서,수시,,국/영문,PL(안),예정,개최 후 2주 이내,주요 논의 내용 및 향후 추진계획 포함 M/M 체결
M21,PSC 개최 계획서,수시,,국/영문,PM(안),예정,개최 2개월 전,"일시, 장소, 참석자, 주요 내용, 발표 자료 포함"
M22,PSC 개최 결과보고서,수시,,국/영문,PM(안),예정,개최 후 2주 이내,주요 논의 내용 및 향후 추진계획 포함 M/M 체결
M23,반기 보고서,반기,2027-01-15,국/영문,PM(안),예정,매년 7월 15일 및 1월 15일 이전,연차보고서 항목 준용 ※지표별 raw data 제출 필수
M24,연차 보고서,연,2027-01-15,국/영문,PM(안),예정,매년 1월 15일까지,KOICA 지정양식 ※지표별 raw data 제출 필수
M25,현장 중간보고회 개최 계획서,수시,,국/영문,PM(안),예정,코이카 협의 후 결정,"일시/장소/참석자, 추진성과, 향후계획 등 발표자료 포함"
M26,현장 중간보고회 개최 결과보고서,수시,,국/영문,PM(안),예정,코이카 협의 후 결정,주요 협의 사항 M/M 체결
M27,중간 보고서,수시,,국/영문,PM(안),예정,코이카 협의 후 결정,KOICA 지정양식
M28,연간 회계정산보고서,연,2027-10-31,국문,PAO(안),예정,매년 10월 31일 이내,KOICA 지정양식
M29,최종 회계정산보고서,1회,2032-10-31,국문,PAO(안),예정,사업 종료 전 2개월 이내 (2032년 10월 31일 이전),KOICA 지정양식
M30,현장 종료보고회 개최 계획서,1회,2032-01-31,국/영문,PM(안),예정,2032년 1월 31일 이전,"일시/장소/참석자, 추진성과 발표자료 포함"
M31,현장 종료보고회 개최 결과보고서,1회,2032-10-31,국/영문,PM(안),예정,최종보고회 종료 후 2주 이내 및 2032년 10월 31일 이전,주요 협의 사항 M/M 체결
M32,최종보고서,1회,2032-10-31,국/영문,PM(안),예정,사업 종료 전 2개월 이내 (2032년 10월 31일 이내),KOICA 지정양식
M33,사후관리계획서,1회,2032-10-31,국/영문,PM(안),예정,사업 종료 전 2개월 이내,DOH와 공동 작성
M34,홍보 계획서 및 결과보고서,수시,,국문,PAO(안),예정,홍보 실시 1개월 전 및 홍보 후 1주 이내,"보도자료, 동영상 등 SNS, 언론보도 포함"
M35,홍보물,수시,,국문,PAO(안),예정,매 홍보물 발생 시,홍보 세부내용
M36,기타 KOICA가 요구하는 보고서,수시,,국문,PM(안),예정,제출 요청 접수 후 2주 이내,사업모니터링 등 과업 이행 관련
