sub_output_id,output_id,series,name,due_date,language,owner,status,approval_method,quality_criteria,submitted_at,doc_id,due_rule
a.1,1.1,a,수요조사결과 검토 보고서,,국문,기자재 전문가(안),미착수,,,,,수요조사 접수 후 2주 이내
a.2,1.1,a,"지원 기자재 리스트 검토 보고서(세부사양, 예산 포함)",,국/영문,기자재 전문가(안),미착수,,,,,수요조사 실시 후 1개월 이내
a.3,1.1,a,기자재공급수행기관 조달 계획서 검토 보고서,,국문,기자재 전문가(안),미착수,,,,,계획서 접수 후 2주 이내
a.4,1.1,a,기자재공급수행기관 조달 모니터링 보고서,,국문,기자재 전문가(안),미착수,,,,,보고서 접수 후 2주 이내
a.5,1.1,a,기자재 설치 및 검수 결과보고서,,국문,기자재 전문가(안),미착수,,,,,기자재 설치 완료 후 1개월 이내
a.6,1.1,a,기자재 운영 및 관리 교육 모니터링 보고서,,국문,기자재 전문가(안),미착수,,,,,모니터링 후 2주 이내
a.7,1.1,a,기자재 유지보수 및 관리 모니터링 보고서,,국문,기자재 전문가(안),미착수,,,,,모니터링 후 2주 이내
a.8,1.1,a,기타 기자재공급수행기관 제출보고서 요약 및 검토보고서,,국문,기자재 전문가(안),미착수,,,,,보고서 접수 후 2주 이내
b.1,1.2,b,현장방문 모니터링 결과보고서,,국문,PL(안),미착수,,,,,교육 완료 후 2주 이내
b.2,1.2,b,기술지원 결과보고서,,국문,PL(안),미착수,,,,,기술지원 완료 후 1개월 이내
b.3,1.2,b,성과보고서(국문),,국문,PL(안),미착수,,,,,반기별
c.1,2.1,c,현지 교육 기관 선정을 위한 과업지시서,2027-02-01,국/영문,PL(안),미착수,,,,,계약 체결 후 3개월 이내
c.2,2.1,c,현지 교육 수행기관 보고서 대상 주요내용 분석 및 검토보고서,,국문,PL(안),미착수,,,,,보고서 접수 후 2주 이내
c.3,2.1,c,교육과정 개발 모니터링 결과보고서,,국문,PL(안),미착수,,,,,모니터링 후 2주 이내
c.4,2.1,c,운영관리 교육 모니터링 결과보고서,,국문,PL(안),미착수,,,,,모니터링 후 2주 이내
c.5,2.1,c,강사양성·동료교육 모니터링 결과보고서,,국문,PL(안),미착수,,,,,모니터링 후 2주 이내
d.1,2.2,d,가이드라인 개발 모니터링 결과보고서,,국문,PL(안),미착수,,,,,모니터링 후 2주 이내
d.2,2.2,d,네비게이터 SBCC 교육 모니터링 결과보고서,,국문,PL(안),미착수,,,,,모니터링 후 2주 이내
d.3,2.2,d,HCPN 정기회의 모니터링 결과보고서,,국문,PL(안),미착수,,,,,모니터링 후 2주 이내
d.4,2.2,d,HCPN 실행평가 모니터링 결과보고서,,국문,PL(안),미착수,,,,,모니터링 후 2주 이내
e.1,3.1,e,현지 평가 수행기관 과업지시서,2027-02-01,영문,보건정책 전문가(안),미착수,,,,,계약 체결 후 3개월 이내
e.2,3.1,e,현지 평가 수행기관 선정 결과보고서,,국문,보건정책 전문가(안),미착수,,,,,선정 후 2주 이내
e.3,3.1,e,정책 평가 실시 계획(안),,국/영문,보건정책 전문가(안),미착수,,,,,선정 후 1개월 이내
e.4,3.1,e,"정책 평가 결과보고서 및 평가를 위해 수집된 원 자료(raw data) 일체(설문지, 설문결과 data set등)",2027-06-30,국/영문,보건정책 전문가(안),미착수,,,,,2차년도 2분기
e.5,3.1,e,정책 평가 환류 워크숍 실시 계획(안),2027-09-30,국/영문,보건정책 전문가(안),미착수,,,,,2차년도 3분기
e.6,3.1,e,정책 평가 환류 워크숍 결과보고서 (참석자 명단 포함),2027-09-30,국/영문,보건정책 전문가(안),미착수,,,,,2차년도 3분기
e.7,3.1,e,수립된 정책 제언 및 확산 로드맵,2027-12-31,국/영문,보건정책 전문가(안),미착수,,,,,2차년도 4분기
e.8,3.1,e,"정책 평가 최종 종합 보고서(평가 결과, 워크숍, 정책 제언 및 확산 로드맵 포함)",2028-03-31,국/영문,보건정책 전문가(안),미착수,,,,,3차년도 1분기
f.1,3.2,f,부카스 데이터 통계관리시스템 시스템 S/W 개발 자문·감리 계획(안) 및 체크리스트,2027-02-01,국/영문,통계시스템 S/W 전문가(안),미착수,,,,,계약 체결 후 3개월 이내
f.2,3.2,f,부카스 데이터 통계관리시스템 자문 결과서,,국/영문,통계시스템 S/W 전문가(안),미착수,,,,,자문 실시 후 2주 이내
f.3,3.2,f,부카스 데이터 통계관리시스템 개발 감리 결과서,,국/영문,통계시스템 S/W 전문가(안),미착수,,,,,시스템 개발 후 1개월 이내
