risk_id,source,description,level,status,mitigation,owner,updated_at
R-01,PDM 중요가정,(가정이 깨질 위험) 정부가 부카스센터를 통해 건강 형평성을 달성하고자 하는 정책 기조가 지속된다,중,모니터링,,PM(안),
R-02,PDM 중요가정,(가정이 깨질 위험) 부카스센터 운영에 필요한 국가 및 보건부 병원(모병원)의 재정 및 인력이 확보된다,중,모니터링,,PM(안),
R-03,PDM 중요가정,(가정이 깨질 위험) 부카스센터의 품질 관리 의지가 지속된다,중,모니터링,,PM(안),
R-04,PDM 중요가정,(가정이 깨질 위험) 부카스센터 의료인력의 이직률이 없거나 낮다,중,모니터링,,PM(안),
R-05,PDM 중요가정,(가정이 깨질 위험) 기자재 설치를 위한 물리적 공간이 확보된다,중,모니터링,,PM(안),
R-06,PDM 중요가정,(가정이 깨질 위험) 보건부 및 지방정부가 사업 대상 보건의료 및 행정인력의 역량강화 교육 참여를 허가한다,중,모니터링,,PM(안),
R-07,PDM 중요가정,"(가정이 깨질 위험) 물류비용, 물가 및 환율이 안정된다",중,모니터링,,PM(안),
R-08,PDM 중요가정,(가정이 깨질 위험) 현지 교육 수행기관 선발 시 보건부가 적합한 기관 선정을 위해 협조한다,중,모니터링,,PM(안),
R-09,PDM 중요가정,(가정이 깨질 위험) DOH KMITS가 데이터 통계 관리 시스템을 구축한다,중,모니터링,,PM(안),
R-10,PDM 중요가정,"(가정이 깨질 위험) 교육프로그램 강사·교육 대상자, 초청연수 대상자 선정 시 보건부가 적극 협조한다",중,모니터링,,PM(안),
R-11,PDM 중요가정,(가정이 깨질 위험) 정부가 프로젝트를 허가 및 지원한다,중,모니터링,,PM(안),
R-12,PDM 중요가정,(가정이 깨질 위험) 보건부 사업 담당 부서 및 인력이 적극적으로 협조한다,중,모니터링,,PM(안),
R-13,PDM 중요가정,(가정이 깨질 위험) 정치/사회/자연 환경의 급변 상황이 없다,중,모니터링,,PM(안),
