seq,stage,code,parent_code,content
1,결과(영향),0,,필리핀 루존지역 부카스센터의 긴급 진료 및 외래 서비스 강화를 통한 지역 주민의 건강 개선
2,변화(성과),1,0,부카스센터 의료 서비스 접근성 및 품질 제고
3,변화(성과),2,0,부카스센터 운영체계 및 지역사회 연계 강화
4,변화(성과),3,0,부카스센터 국가 정책 및 거버넌스 개선
5,변화(산출물),1.1,1,접근성이 강화된 응급 진료 및 외래 서비스
6,변화(산출물),1.2,1,품질이 강화된 응급 진료 및 외래 서비스
7,변화(산출물),2.1,2,강화된 부카스센터 운영관리 역량
8,변화(산출물),2.2,2,개선된 부카스센터 통합 지역사회 의료서비스 전달체계(HCPN)
9,변화(산출물),3.1,3,강화된 부카스센터 국가 정책 책임성 및 근거기반 의사결정
10,변화(산출물),3.2,3,지속가능하고 체계가 확립된 부카스센터 운영관리 체계
11,수단(활동),1.1.1,1.1,부카스센터 기자재 지원
12,수단(활동),1.2.1,1.2,부카스센터 의료인력 기술지원 및 멘토링
13,수단(활동),2.1.1,2.1,"부카스센터 재정, 정보, 인사 운영관리 교육과정 개발"
14,수단(활동),2.1.2,2.1,"부카스센터 운영관리교육 강사양성, 동료교육 실시"
15,수단(활동),2.2.1,2.2,부카스센터 통합 지역사회 의료서비스 전달체계(HCPN) 가이드라인 개발
16,수단(활동),2.2.2,2.2,지역사회 보건의료 인력 인식제고 및 교육 실시
17,수단(활동),3.1.1,3.1,부카스센터 국가 정책 평가 및 환류
18,수단(활동),3.2.1,3.2,부카스센터 데이터 통계 관리 및 평가체계 구축 역량강화
19,수단(활동),3.2.2,3.2,"부카스센터 발전계획, 표준 운영 매뉴얼 수립 및 관리 역량강화"
