expert_id,role,category,grade,person_name,md_domestic,md_overseas,md_total,duties
E01,PM,주요(핵심투입인력),2급,,30,136,166,"사업 종합 기획·운영 총괄, 현지 PC 과업 협력·관리, 성과관리 총괄, 평가체계·발전계획·매뉴얼 총괄, 산출물 품질관리 총괄"
E02,PL(상주),주요,3급,,0,1242,1242,"현장 사업·파트너십 총괄, 기초선/중간선/종료선 조사 시행·관리, KOICA 사무소·DOH 협의·보고, 대상 부카스 모니터링"
E03,PAO(상주),일반,6급,,0,1242,1242,"사업 운영 행정, 사업·성과관리 담당, 정기 보고, Milestone 달성 현황 확인·관리"
E04,성과관리,일반,3급,이호철,22,90,112,"성과지표 검토·개선, M&E 체계 수립, 성과점검양식 수립·등록·관리, 기초선/종료선 조사 계획·이행, PDM 업데이트, 모니터링 점검표 개발"
E05,병원운영,일반,2급,,15,80,95,"마스터플랜, 발전계획 및 표준 운영 매뉴얼 개발, 검토/확산 워크숍"
E06,보건정책,일반,2급,,15,54,69,"DOH·LGU 정책·제도 분석, 정책 자문, 보건자원·접근성 조사, 평가체계·발전계획 워크숍"
E07,기자재,일반,2급,,15,56,71,"기자재 구매계획 검토·자문, 전수조사·검수, 교육·유지보수 감리"
E08,보건의료 통계시스템(S/W),일반,2급,,10,54,64,"시스템 개발계획 검토·자문, 준비도 조사, 활용·유지보수 감리, iHOMIS Plus 통합 ISP 지원"
E09,보건의료 통계시스템(H/W),일반,2급,,10,32,42,"H/W 구매계획 검토·자문, 데이터센터·네트워크 전수조사, 교육·유지보수 감리"
E10,보건의료 AI 데이터 관리,일반,2급,,10,36,46,"데이터 수집·정제·표준화 역량강화, AI 데이터 플랫폼 자문, 데이터 QA, AI 활용 워크숍"
E11,현지 인력(2명),일반,,,0,0,0,PL·PAO와 근무할 현지 인력 2명 제안 필요
