version,seq,level,code,summary,indicators,mov,assumptions,proposal,note
1,1,기본정보,사업명,"필리핀 루존지역 부카스센터 긴급 외래 진료 및 진단검사 역량강화 사업(2026-2032/1,200만불)",,,,,
1,2,기본정보,대표 수혜자 지표 / 목표치,1-1. 국가 인증 기준에 부합하는 부카스센터 비율(%),,,,,목표치는 기초선 조사 시 수립 예정(TBD)
1,3,기본정보,PDM 작성일,2026-01-15,,,,,
1,4,기본정보,PDM 승인일 / 버전,,,,,,승인 후 기입
1,5,영향(Impact),,필리핀 루존지역 부카스센터의 긴급 진료 및 외래서비스 강화를 통한 지역주민의 건강 개선,,,,,
1,6,성과(Outcome),1,부카스센터 의료서비스 접근성 및 품질 제고,"1-1. 국가 인증 기준에 부합하는 부카스센터 비율(%) ★대표 수혜자 지표
1-2. 부카스센터 서비스 이용자 수","기초선/중간선/종료선 조사, 보건부 DB","정부가 부카스센터를 통해 건강 형평성을 달성하고자 하는 정책 기조가 지속된다.
부카스센터 운영에 필요한 국가 및 보건부 병원(모병원)의 재정 및 인력이 확보된다.",,
1,7,성과(Outcome),2,부카스센터 운영체계 및 지역사회 연계 강화,"2-1. 운영관리 역량강화 교육과정 현업 적용도(%)
2-2. 표준 전원 절차를 통해 전원된 환자 수","기초선/중간선/종료선 조사, 보건부 DB","부카스센터의 품질 관리 의지가 지속된다.
부카스센터 의료인력의 이직률이 없거나 낮다.",,
1,8,성과(Outcome),3,부카스센터 국가 정책 및 거버넌스 개선,"3-1. 정책 평가 결과 반영 건수
3-2. 부카스 보건 정보 시스템 자료입력 완료 비율","기초선/중간선/종료선 조사, 보건부 DB",,,
1,9,산출물(Output),1.1,접근성이 강화된 응급 진료 및 외래 서비스,1.1-1. 기자재가 지원된 부카스센터 수(개소),"기자재 납품확인서, 운영 교육 확인서",기자재 설치를 위한 물리적 공간이 확보된다.,,
1,10,산출물(Output),1.2,품질이 강화된 응급 진료 및 외래 서비스,1.2-1. 의료보건 및 건강증진 관리교육/기술지원/멘토링 세션을 완료한 보건의료인력 수(명),"멘토링 활동보고서, 모니터링 보고서",보건부 및 지방정부가 사업 대상 보건의료 및 행정인력의 역량강화 교육 참여를 허가한다.,,
1,11,산출물(Output),2.1,강화된 부카스센터 운영관리 역량,"2.1-1. 운영관리 역량강화 교육 개발(건)
2.1-2. 운영관리 역량강화 교육 참여자 수(명)
2.1-3. 양성된 강사 인력 수(명)","교육과정 개발 계획서 및 결과보고서
교육 결과보고서, 수료자 명단
교육 결과보고서, 수료자 명단","물류비용, 물가 및 환율이 안정된다.
운영관리 역량강화를 위한 현지 교육 수행기관 선발 시, 보건부는 적합한 기관 선정을 위해 협조한다.
DOH KMITS는 데이터 통계 관리 시스템을 구축한다.
교육프로그램 강사 및 교육 대상자, 초청 연수 대상자 선정 시 보건부가 적극적으로 협조한다.",,
1,12,산출물(Output),2.2,개선된 부카스센터 통합 지역사회 의료서비스 전달체계(HCPN),"2.2-1. 개발된 부카스센터 통합 의료서비스 전달체계(HCPN) 가이드라인 수(건)
2.2-2. 의료서비스 전달체계(HCPN) 역량강화 교육 참여자 수(명)","가이드라인 개발 계획서 및 결과보고서
교육 결과보고서, 수료자 명단",,,
1,13,산출물(Output),3.1,강화된 부카스센터 국가 정책 책임성 및 근거기반 의사결정,3.1-1. 정책 평가 결과 보고서 수(건),정책 평가 결과보고서,,,
1,14,산출물(Output),3.2,지속가능하고 체계가 확립된 부카스센터 운영관리 체계,"3.2-1. 요구사항 대비 시스템 기능 달성도(%)
3.2-2. 수립된 평가체계 결과를 보고한 부카스센터 비율(%)
3.2-3. 수립된 부카스센터 발전계획 및 표준 운영 매뉴얼 수(건)","시스템 개발 결과보고서
부카스센터 성과평가 보고서
부카스센터 발전계획 및 표준 운영 매뉴얼",,,
1,15,활동(Activity),1.1.1,부카스센터 기자재 지원,,,,,
1,16,활동(Activity),1.1.2,부카스센터 의료인력 기술지원 및 멘토링,,,,,PDM 원문 번호 기준(RFP 활동번호는 1.2.1 등 일부 다름)
1,17,활동(Activity),2.1.1,"부카스센터 재정, 정보, 인사 운영관리 교육과정 개발",,,,,
1,18,활동(Activity),2.1.2,"부카스센터 운영관리교육 강사양성, 동료교육 실시",,,,,
1,19,활동(Activity),2.2.1,부카스센터 통합 지역사회 의료서비스 전달체계(HCPN) 가이드라인 개발,,,,,
1,20,활동(Activity),2.2.2,지역사회 보건의료 인력 인식제고 및 교육 실시,,,,,
1,21,활동(Activity),3.1.1,부카스센터 국가 정책 평가 및 환류,,,,,
1,22,활동(Activity),3.2.1,"부카스센터 데이터 통계 관리, 평가체계 구축 역량강화",,,,,
1,23,활동(Activity),3.2.2,"부카스센터 발전계획, 표준 운영 매뉴얼 수립 및 관리 역량 강화",,,,,
1,24,투입물(Input),KOICA,"(사업예산) 1,200만불
(사업기간) 2026-2032
(기타투입) PMC 파견, 부카스센터 기자재 지원, 운영관리 역량강화 등",,,,,
1,25,투입물(Input),수원기관,"사업 진행 인허가 등 법률 및 행정업무 지원
부카스센터 인력관리 및 운영
개발된 교육과정 정부기관(보건부 등) 인증
보건부 KMITS 주도 부카스 데이터 통계 관리 시스템 개발
평가체계, 발전계획, 표준 운영 매뉴얼 정부기관(보건부 등) 인증",,,,,
1,26,선행조건(Pre-condition),,"정부는 프로젝트를 허가 및 지원한다.
보건부 사업 담당 부서 및 인력이 적극적으로 협조한다.
정치/사회/자연 환경의 급변 상황이 없다.",,,,,
