milestone_id,title,category,project_year,due_date,owner,status,related_output,note,due_rule
MS-001,계약 체결 [가정일 — 실제 계약일로 바꾸고 '기한 다시 계산'],공정,1,2026-11-01,PM,예정,,,계약 체결 후 0주 이내
MS-002,현장 착수보고회 개최·결과보고,보고,1,2026-12-01,PM,예정,,,계약 체결 후 1개월 이내
MS-004,데이터 관리 및 운용체계 역량강화 워크숍 (1/3),공정,1,2026-12-31,AI 데이터 관리 전문가,예정,3.2,f.10~f.11,1차년도 4분기
MS-028,연차 보고서(2026년) + 하반기 반기 보고서,보고,2,2027-01-15,PM,예정,,지표별 raw data 제출 필수,
MS-003,"PIU 및 PSC 운영계획서, 현지 기관 과업지시서(c.1, e.1), 자문계획(f.1, f.8) 제출",공정,2,2027-02-01,PM,예정,,,계약 체결 후 3개월 이내
MS-046,PIU(사업실무단) 2027년 1분기 [일자 협의],회의,2,2027-03-31,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-005,착수조사·기초선조사·성과관리계획 수립 완료 (RFP 일정표 기준),성과관리,2,2027-06-30,성과관리 전문가,예정,,기초선 조사에서 TBD 지표의 기초선·목표치 확정,2차년도 2분기
MS-006,정책 평가 실시 완료 · 결과보고서(e.4),공정,2,2027-06-30,보건정책 전문가,예정,3.1,"과학적 방법론, 코이카 사무소와 설계 협의",2차년도 2분기
MS-007,"평가체계·표준 운영 매뉴얼 수립 계획(안) (f.19, f.39)",공정,2,2027-06-30,성과관리 전문가,예정,3.2,,2차년도 2분기
MS-047,PIU(사업실무단) 2027년 2분기 [일자 협의],회의,2,2027-06-30,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-029,상반기 반기 보고서(2027년),보고,2,2027-07-15,PM,예정,,지표별 raw data 제출 필수,
MS-008,정책 평가 환류 워크숍 (e.5~e.6),공정,2,2027-09-30,보건정책 전문가,예정,3.1,,2차년도 3분기
MS-048,PIU(사업실무단) 2027년 3분기 [일자 협의],회의,2,2027-09-30,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-030,연간 회계정산보고서(2027년),보고,2,2027-10-31,PAO,예정,,,
MS-045,PSC(사업운영위원회) 2027년 [일자 협의],회의,2,2027-12-15,PM,예정,,"RFP 본문은 연 1회, 관리문서 표는 반기별로 기재 [확인필요]. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-009,"정책 제언 및 확산 로드맵(e.7) / 평가체계·매뉴얼 초안 및 검토 워크숍 (f.20~21, f.40~41)",공정,2,2027-12-31,PM,예정,"3.1, 3.2",,2차년도 4분기
MS-010,[PDM] 기자재 지원 25개소 · 정책평가 보고서 1건 (연간 목표),성과관리,2,2027-12-31,성과관리 전문가,예정,"1.1, 3.1","지표 1.1-1, 3.1-1",
MS-049,PIU(사업실무단) 2027년 4분기 [일자 협의],회의,2,2027-12-31,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-031,연차 보고서(2027년) + 하반기 반기 보고서,보고,3,2028-01-15,PM,예정,,지표별 raw data 제출 필수,
MS-011,정책 평가 최종 종합 보고서(e.8),공정,3,2028-03-31,보건정책 전문가,예정,3.1,,3차년도 1분기
MS-051,PIU(사업실무단) 2028년 1분기 [일자 협의],회의,3,2028-03-31,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-012,발전계획 수립 계획(안) (f.31),공정,3,2028-06-30,병원운영 전문가,예정,3.2,,3차년도 2분기
MS-052,PIU(사업실무단) 2028년 2분기 [일자 협의],회의,3,2028-06-30,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-032,상반기 반기 보고서(2028년),보고,3,2028-07-15,PM,예정,,지표별 raw data 제출 필수,
MS-013,관리자 대상 초청연수 (20명) (f.47~f.50),파견·연수,3,2028-09-30,PM,예정,3.2,RFP 본문 '2028년 1회',3차년도 3분기
MS-053,PIU(사업실무단) 2028년 3분기 [일자 협의],회의,3,2028-09-30,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-033,연간 회계정산보고서(2028년),보고,3,2028-10-31,PAO,예정,,,
MS-050,PSC(사업운영위원회) 2028년 [일자 협의],회의,3,2028-12-15,PM,예정,,"RFP 본문은 연 1회, 관리문서 표는 반기별로 기재 [확인필요]. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-014,실무자 초청연수 1차 — 데이터 통계 관리 (10명/7일),파견·연수,3,2028-12-31,PM,예정,3.2,RFP 본문 '2028년(3차년도)' — 보조산출물 표에는 4차년도 3분기만 기재 [확인필요],
MS-015,데이터 분석 및 운용방안 워크숍 (2/3) · 평가체계/매뉴얼 수원국 승인 · 발전계획 초안·검토 워크숍,공정,3,2028-12-31,PM,예정,3.2,"f.12~13, f.24, f.44, f.32, f.34",3차년도 4분기
MS-016,[PDM] 교육과정 1건 · HCPN 가이드라인 1건 개발 (연간 목표),성과관리,3,2028-12-31,성과관리 전문가,예정,"2.1, 2.2","지표 2.1-1, 2.2-1",
MS-054,PIU(사업실무단) 2028년 4분기 [일자 협의],회의,3,2028-12-31,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-034,연차 보고서(2028년) + 하반기 반기 보고서,보고,4,2029-01-15,PM,예정,,지표별 raw data 제출 필수,
MS-056,PIU(사업실무단) 2029년 1분기 [일자 협의],회의,4,2029-03-31,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-017,"평가체계·표준 운영 매뉴얼 확산 워크숍 (f.25, f.45)",공정,4,2029-06-30,성과관리 전문가,예정,3.2,,4차년도 1/2분기
MS-057,PIU(사업실무단) 2029년 2분기 [일자 협의],회의,4,2029-06-30,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-035,상반기 반기 보고서(2029년),보고,4,2029-07-15,PM,예정,,지표별 raw data 제출 필수,
MS-018,실무자 초청연수 2차 — 운영 성과 관리 (15명/14일) (f.27~f.30),파견·연수,4,2029-09-30,PM,예정,3.2,,4차년도 3분기
MS-019,중간선조사 (4차년도),성과관리,4,2029-09-30,성과관리 전문가,예정,,성과 지표 측정시기 1·4·7차년도. 일자는 계획 수립 시 확정,
MS-058,PIU(사업실무단) 2029년 3분기 [일자 협의],회의,4,2029-09-30,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-036,연간 회계정산보고서(2029년),보고,4,2029-10-31,PAO,예정,,,
MS-055,PSC(사업운영위원회) 2029년 [일자 협의],회의,4,2029-12-15,PM,예정,,"RFP 본문은 연 1회, 관리문서 표는 반기별로 기재 [확인필요]. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-020,사업 중간보고회 (RFP 일정표: 2029년 4분기) · 발전계획 승인(f.36),보고,4,2029-12-31,PM,예정,,시기는 KOICA 사무소와 협의,4차년도 4분기
MS-059,PIU(사업실무단) 2029년 4분기 [일자 협의],회의,4,2029-12-31,PL,예정,,"분기별 정례. 개최 2개월 전 계획서, 개최 후 2주 이내 결과보고",
MS-037,연차 보고서(2029년) + 하반기 반기 보고서,보고,5,2030-01-15,PM,예정,,지표별 raw data 제출 필수,
